"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"286,""83.096874186"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  50801 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852224063 TSecr=1356702254 [TCP segment of a reassembled PDU]"""
"287,""83.096878457"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"288,""83.101666667"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""50801  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356703329 TSecr=2852224063"""
"289,""83.104078740"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""50801  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356703332 TSecr=2852224063"""
"290,""83.104150146"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""50801  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356703332 TSecr=2852224063"""
"291,""83.144004930"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"292,""83.144101232"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  50801 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852224111 TSecr=1356703371"""
"293,""84.600256339"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""42439  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262646679 TSecr=0 WS=128"""
"294,""84.600384672"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  42439 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985607765 TSecr=262646679 WS=128"""
"295,""84.604183771"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""42439  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262646684 TSecr=985607765"""
"296,""84.609807342"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"297,""84.609903904"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  42439 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985607775 TSecr=262646690"""
"298,""85.467068973"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"299,""85.469338286"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""50801  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356705698 TSecr=2852226434"""
"300,""85.471424632"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"301,""85.471474892"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  50801 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852226438 TSecr=1356705700"""
"302,""85.733206367"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  42439 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985608898 TSecr=262646690 [TCP segment of a reassembled PDU]"""
"303,""85.733264909"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  42439 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985608898 TSecr=262646690 [TCP segment of a reassembled PDU]"""
"304,""85.733270013"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"305,""85.738275930"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""42439  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262647818 TSecr=985608898"""
"306,""85.741171856"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""42439  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262647821 TSecr=985608898"""
"307,""85.741250814"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""42439  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262647821 TSecr=985608898"""
"308,""85.783201683"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"309,""85.783305745"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  42439 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985608948 TSecr=262647863"""
"310,""87.859754544"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"311,""87.861385840"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"312,""87.861795005"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  50801 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852228828 TSecr=1356705700"""
"313,""87.867424929"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""50801  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356708095 TSecr=2852228826"""
"314,""88.372085977"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"315,""88.474020245"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""42439  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262650554 TSecr=985611537"""
"316,""88.476166799"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"317,""88.476211226"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  42439 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985611641 TSecr=262650556"""
"318,""90.715247525"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"319,""90.716604030"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"320,""90.717020538"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  42439 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985613882 TSecr=262650556"""
"321,""90.723420148"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""42439  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262652803 TSecr=985613880"""
"322,""94.821662836"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""39705  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262656810 TSecr=0 WS=128"""
"323,""94.821834241"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  39705 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985617986 TSecr=262656810 WS=128"""
"324,""94.829437387"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""39705  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262656905 TSecr=985617986"""
"325,""94.830902381"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"326,""94.830992068"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  39705 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985617996 TSecr=262656911"""
"327,""95.944018934"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  39705 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985619109 TSecr=262656911 [TCP segment of a reassembled PDU]"""
"328,""95.944059455"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  39705 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985619109 TSecr=262656911 [TCP segment of a reassembled PDU]"""
"329,""95.944064871"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"330,""95.951401820"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""39705  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262658031 TSecr=985619109"""
"331,""95.954026861"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""39705  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262658034 TSecr=985619109"""
"332,""95.954097538"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""39705  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262658034 TSecr=985619109"""
"333,""95.995692939"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"334,""95.995745075"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  39705 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985619160 TSecr=262658076"""
"335,""98.281691419"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"336,""98.380136586"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""39705  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262660460 TSecr=985621446"""
"337,""98.382496211"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"338,""98.382531524"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  39705 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985621547 TSecr=262660462"""
"339,""100.622125188"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"340,""100.623260235"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"341,""100.623602630"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  39705 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985623788 TSecr=262660462"""
"342,""100.628876566"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""39705  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262662709 TSecr=985623787"""
"343,""108.748390730"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""48657  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262670719 TSecr=0 WS=128"""
"344,""108.748562396"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  48657 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985631913 TSecr=262670719 WS=128"""
"345,""108.753250189"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48657  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262670833 TSecr=985631913"""
"346,""108.759552871"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"347,""108.759713964"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48657 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985631924 TSecr=262670839"""
"348,""109.876774908"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  48657 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985633041 TSecr=262670839 [TCP segment of a reassembled PDU]"""
"349,""109.876813085"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  48657 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985633041 TSecr=262670839 [TCP segment of a reassembled PDU]"""
"350,""109.876819491"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"351,""109.887061636"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48657  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262671962 TSecr=985633041"""
"352,""109.887259448"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48657  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262671964 TSecr=985633041"""
"353,""109.887277312"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48657  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262671964 TSecr=985633041"""
"354,""109.927977613"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"355,""109.928034331"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48657 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985633093 TSecr=262672006"""
"356,""112.155358118"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"357,""112.161068719"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48657  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262674240 TSecr=985635320"""
"358,""112.162238818"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"359,""112.162320485"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48657 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985635327 TSecr=262674242"""
"360,""114.383417260"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"361,""114.384953660"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"362,""114.385382616"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48657 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=985637550 TSecr=262674242"""
"363,""114.391709517"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48657  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=262676472 TSecr=985637548"""
"364,""119.911223155"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""58813  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356740130 TSecr=0 WS=128"""
"365,""119.911398258"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  58813 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852260878 TSecr=1356740130 WS=128"""
"366,""119.916003656"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""58813  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356740144 TSecr=2852260878"""
"367,""119.922707482"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"368,""119.922839981"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  58813 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852260889 TSecr=1356740150"""
"369,""121.045463439"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  58813 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852262012 TSecr=1356740150 [TCP segment of a reassembled PDU]"""
"370,""121.045506147"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  58813 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852262012 TSecr=1356740150 [TCP segment of a reassembled PDU]"""
"371,""121.045512658"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"372,""121.050822896"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""58813  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356741279 TSecr=2852262012"""
"373,""121.053430073"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""58813  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356741282 TSecr=2852262012"""
"374,""121.053500854"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""58813  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356741282 TSecr=2852262012"""
"375,""121.092036422"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"376,""121.092086735"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  58813 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852262059 TSecr=1356741319"""
"377,""123.430396852"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"378,""123.496517045"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""58813  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356743723 TSecr=2852264397"""
"379,""123.496649389"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"380,""123.496703295"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  58813 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852264463 TSecr=1356743724"""
"381,""125.734927103"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"382,""125.736073608"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"383,""125.736421992"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  58813 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852266703 TSecr=1356743724"""
"384,""125.740965411"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""58813  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356745969 TSecr=2852266702"""
"385,""130.398454442"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""45027  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262692478 TSecr=0 WS=128"""
"386,""130.398636524"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  45027 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985653563 TSecr=262692478 WS=128"""
"387,""130.401840834"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45027  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262692482 TSecr=985653563"""
"388,""130.408281901"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"389,""130.408418046"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45027 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985653573 TSecr=262692488"""
"390,""131.524614641"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  45027 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985654689 TSecr=262692488 [TCP segment of a reassembled PDU]"""
"391,""131.524658183"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  45027 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985654689 TSecr=262692488 [TCP segment of a reassembled PDU]"""
"392,""131.524662662"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"393,""131.539212132"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45027  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262693618 TSecr=985654689"""
"394,""131.540498065"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45027  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262693621 TSecr=985654689"""
"395,""131.540568273"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45027  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262693621 TSecr=985654689"""
"396,""131.579039414"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"397,""131.579092695"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45027 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985654744 TSecr=262693659"""
"398,""133.888046551"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"399,""133.940114771"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""45027  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=262696020 TSecr=985657053"""
"400,""133.944002880"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"401,""133.944066630"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45027 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=985657109 TSecr=262696023"""
"402,""135.411923627"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""117"",""Application Data"""
"403,""135.412037064"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45027 [ACK] Seq=3297 Ack=1919 Win=64128 Len=0 TSval=985658577 TSecr=262697491"""
"404,""136.219431557"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"405,""136.220641864"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"406,""136.221058321"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  45027 [RST, ACK] Seq=3361 Ack=1919 Win=64128 Len=0 TSval=985659386 TSecr=262697491"""
"407,""157.800665991"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""39963  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1356777984 TSecr=0 WS=128"""
"408,""157.800828282"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  39963 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852298767 TSecr=1356777984 WS=128"""
"409,""157.804324205"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""39963  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1356778032 TSecr=2852298767"""
"410,""157.810915427"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"411,""157.811058864"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  39963 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852298778 TSecr=1356778037"""
"412,""158.912302622"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  39963 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852299879 TSecr=1356778037 [TCP segment of a reassembled PDU]"""
"413,""158.912341580"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  39963 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852299879 TSecr=1356778037 [TCP segment of a reassembled PDU]"""
"414,""158.912348090"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"415,""158.919847746"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""39963  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1356779148 TSecr=2852299879"""
"416,""158.922948931"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""39963  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1356779151 TSecr=2852299879"""
"417,""158.923017420"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""39963  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1356779151 TSecr=2852299879"""
"418,""158.964745214"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"419,""158.964801516"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  39963 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852299931 TSecr=1356779192"""
"420,""161.207889898"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"421,""161.211557330"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""39963  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1356781439 TSecr=2852302175"""
"422,""161.212579617"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"423,""161.212630190"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  39963 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852302179 TSecr=1356781441"""
"424,""163.462209476"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"425,""163.463685668"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"426,""163.464063323"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  39963 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852304431 TSecr=1356781441"""
"427,""163.474587289"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""39963  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1356783699 TSecr=2852304429"""
"428,""168.263128114"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""51635  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262730341 TSecr=0 WS=128"""
"429,""168.263301343"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  51635 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985691428 TSecr=262730341 WS=128"""
"430,""168.270046158"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51635  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262730350 TSecr=985691428"""
"431,""168.275733166"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"432,""168.275868321"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  51635 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985691440 TSecr=262730356"""
"433,""169.427009824"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  51635 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985692592 TSecr=262730356 [TCP segment of a reassembled PDU]"""
"434,""169.427064824"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  51635 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985692592 TSecr=262730356 [TCP segment of a reassembled PDU]"""
"435,""169.427069459"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"436,""169.448353172"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51635  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262731519 TSecr=985692592"""
"437,""169.448535306"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51635  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262731525 TSecr=985692592"""
